kind,corp_code,corp_name,first_seen,last_seen,present_before,absent_after,wired_ok,probe_fy,probe_status,corroborated
dropout,01102800,키움제4호기업인수목적,2016,2018,1,1,1,2024,013,1
dropout,00599489,청광건설,2015,2023,1,1,1,2024,013,1
dropout,00163789,심팩메탈,2015,2018,1,1,1,2024,013,1
dropout,00992312,에스와이이노베이션,2015,2017,1,1,1,2024,013,1
dropout,01195828,대원모방,2019,2020,1,1,1,2024,013,1
dropout,00609254,세왕,2015,2019,1,1,1,2024,013,1
dropout,00785475,원익피앤이,2015,2022,1,1,1,2024,013,1
dropout,01119387,이에스산업,2016,2020,1,1,1,2024,013,1
dropout,00159175,한국전기초자,2015,2015,1,1,1,2024,013,1
dropout,00188715,현진소재,2015,2023,1,1,1,2024,013,1
dropout,00874195,코썬바이오,2015,2020,1,1,1,2024,013,1
dropout,01088458,극동자동화,2018,2018,1,1,1,2024,013,1
dropout,01632851,아이비케이에스제19호기업인수목적,2023,2023,1,1,1,2024,013,1
dropout,00259439,지아이바이오,2015,2015,1,1,1,2024,013,1
dropout,01277928,한국제7호기업인수목적,2019,2020,1,1,1,2024,013,1
dropout,00122339,이매진아시아,2015,2021,1,1,1,2024,013,1
dropout,00601641,리드,2015,2021,1,1,1,2024,013,1
dropout,00372989,비엔씨컴퍼니,2015,2017,1,1,1,2024,013,1
dropout,00447982,에스지피엠,2015,2016,1,1,1,2024,013,1
dropout,00207223,위너지스,2015,2018,1,1,1,2024,013,1
dropout,00554024,셀트리온헬스케어,2017,2023,1,1,1,2024,013,1
dropout,01596665,한국제10호기업인수목적,2022,2023,1,1,1,2024,013,1
dropout,00246347,태창파로스,2015,2015,1,1,1,2024,013,1
dropout,00123514,보진재,2015,2020,1,1,1,2024,013,1
dropout,00910947,바다로19호선박투자회사,2015,2023,1,1,1,2024,013,1
dropout,00493501,씨디네트웍스,2015,2020,1,1,1,2024,013,1
dropout,01450105,미래에셋대우기업인수목적5호,2021,2023,1,1,1,2024,013,1
dropout,00116356,동성화학,2015,2021,1,1,1,2024,013,1
dropout,00163619,한진피앤씨,2015,2017,1,1,1,2024,013,1
dropout,00526474,동북아14호선박투자회사,2015,2017,1,1,1,2024,013,1
dropout,01652970,하나금융23호기업인수목적,2023,2023,1,1,1,2024,013,1
dropout,01580178,대신밸런스제11호기업인수목적,2022,2022,1,1,1,2024,013,1
dropout,01018954,제이에스피브이,2017,2018,1,1,1,2024,013,1
dropout,00656340,소프트캠프,2015,2019,1,1,1,2024,013,1
dropout,00198378,녹십자셀,2015,2021,1,1,1,2024,013,1
dropout,00835734,피엠디아카데미,2015,2018,1,1,1,2024,013,1
dropout,00411905,테라셈,2015,2022,1,1,1,2024,013,1
dropout,01072660,엔에이치기업인수목적7호,2016,2017,1,1,1,2024,013,1
dropout,01582228,교보11호기업인수목적,2022,2023,1,1,1,2024,013,1
dropout,00351418,코리아오토글라스,2016,2020,1,1,1,2024,013,1
ipo,01731453,디비금융제11호기업인수목적,2024,2025,,,1,2021,013,1
ipo,00119140,핸즈코퍼레이션,2017,2025,,,1,2014,013,1
ipo,01658266,하나금융24호기업인수목적,2023,2024,,,1,2020,013,1
ipo,01663639,유안타제9호기업인수목적,2023,2025,,,1,2020,013,1
ipo,01213586,아이디피,2021,2025,,,1,2018,013,1
ipo,00571298,덕우전자,2018,2025,,,1,2015,013,1
ipo,01116344,이비테크,2017,2025,,,1,2014,013,1
ipo,01669226,한화리츠,2024,2025,,,1,2021,013,1
ipo,01368354,네패스아크,2021,2025,,,1,2018,013,1
ipo,00876166,KBG,2020,2025,,,1,2017,013,1
ipo,00858124,알에스오토메이션,2018,2025,,,1,2015,013,1
ipo,01139965,스튜디오미르,2023,2025,,,1,2020,013,1
ipo,01393721,포커스에이아이,2020,2025,,,1,2017,013,1
ipo,01703849,노머스,2025,2025,,,1,2022,013,1
ipo,00763701,헥토파이낸셜,2020,2025,,,1,2017,013,1
ipo,00877819,데이타솔루션,2018,2025,,,1,2015,013,1
ipo,00667373,현대힘스,2024,2025,,,1,2021,013,1
ipo,00886792,루켄테크놀러지스,2018,2025,,,1,2015,013,1
ipo,01448544,셀로맥스사이언스,2025,2025,,,1,2022,013,1
ipo,01256864,에이비엘바이오,2019,2025,,,1,2016,013,1
ipo,00961507,케일럼,2018,2025,,,1,2015,013,1
ipo,00609661,티쓰리,2023,2025,,,1,2020,013,1
ipo,01189438,HLB바이오스텝,2020,2025,,,1,2017,013,1
ipo,01011438,에이치엘사이언스,2017,2025,,,1,2014,013,1
ipo,01738483,대신밸런스제16호기업인수목적,2024,2025,,,1,2021,013,1
ipo,01801822,SK증권제13호스팩,2025,2025,,,1,2022,013,1
ipo,01203312,케이뱅크,2022,2025,,,1,2019,013,1
ipo,00356839,메디콕스,2018,2025,,,1,2015,000,0
ipo,00874797,길교이앤씨,2024,2025,,,1,2021,013,1
ipo,01130849,파라택시스이더리움,2024,2025,,,1,2021,013,1
ipo,00927558,유바이오로직스,2017,2025,,,1,2014,013,1
ipo,01781847,교보15호스팩,2024,2025,,,1,2021,013,1
ipo,00874937,탑선,2018,2025,,,1,2015,013,1
ipo,01601286,미래에셋비전기업인수목적1호,2023,2024,,,1,2020,013,1
ipo,01656374,신영해피투모로우제8호기업인수목적,2023,2025,,,1,2020,013,1
ipo,01405585,윙스풋,2020,2025,,,1,2017,013,1
ipo,01199727,샘씨엔에스,2022,2025,,,1,2019,013,1
ipo,00523936,HB솔루션,2021,2025,,,1,2018,013,1
ipo,01436558,신한서부티엔디리츠,2022,2025,,,1,2019,013,1
ipo,01353024,TS트릴리온,2020,2025,,,1,2017,013,1
control,00161781,아난티,2015,2025,,,,2024,000,1
control,00363510,제이케이시냅스,2015,2025,,,,2024,000,1
control,00145668,이화공영,2015,2025,,,,2024,000,1
control,00149655,삼성물산,2015,2025,,,,2024,000,1
control,00351375,뉴보텍,2015,2025,,,,2024,000,1
control,00977696,넥스쳐,2015,2025,,,,2024,000,1
control,00156442,한국가구,2015,2025,,,,2024,000,1
control,00390055,종근당바이오,2015,2025,,,,2024,000,1
control,00159209,한전기술,2015,2025,,,,2024,000,1
control,00406329,루멘스,2015,2025,,,,2024,000,1
control,00116806,하스코,2015,2025,,,,2024,013,0
control,00108001,남화토건,2015,2025,,,,2024,000,1
control,00103176,흥국화재,2015,2025,,,,2024,000,1
control,00498001,모베이스,2015,2025,,,,2024,000,1
control,00171636,한솔홀딩스,2015,2025,,,,2024,000,1
control,00146436,엔브이에이치코리아,2015,2025,,,,2024,000,1
control,00139205,안국약품,2015,2025,,,,2024,000,1
control,00364847,이글루,2015,2025,,,,2024,000,1
control,00360036,백금T&A,2015,2025,,,,2024,000,1
control,00145464,이구산업,2015,2025,,,,2024,000,1
control,00664853,제이씨케미칼,2015,2025,,,,2024,000,1
control,00170558,코웨이,2015,2025,,,,2024,000,1
control,00243988,에스케이브로드밴드,2015,2025,,,,2024,000,1
control,00602136,디와이피엔에프,2015,2025,,,,2024,000,1
control,00100939,강남제비스코,2015,2025,,,,2024,000,1
control,00129642,상신브레이크,2015,2025,,,,2024,000,1
control,00101220,KG케미칼,2015,2025,,,,2024,000,1
control,00380429,CMG제약,2015,2025,,,,2024,000,1
control,00111193,대양전기공업,2015,2025,,,,2024,000,1
control,01046203,로아앤코홀딩스,2015,2025,,,,2024,000,1
control,00101257,경남기업,2015,2025,,,,2024,000,1
control,00241236,에이치씨코퍼레이션,2015,2025,,,,2024,000,1
control,00110431,JW신약,2015,2025,,,,2024,000,1
control,00599595,BGF에코머티리얼즈,2015,2025,,,,2024,000,1
control,00137058,신일제약,2015,2025,,,,2024,000,1
control,00663289,위월드,2015,2025,,,,2024,013,0
control,00208444,피에스케이홀딩스,2015,2025,,,,2024,000,1
control,00249034,드림라인,2015,2025,,,,2024,000,1
control,00121507,무림SP,2015,2025,,,,2024,000,1
control,01060735,로지스몬,2016,2025,,,,2024,013,0
